State,Teen births,High school graduation,Some college,Infant mortality,Child mortality,Children eligible for free lunch
NC,50.8,0.75,0.538,10.4,84.4,0.545
NC,48.6,0.773,0.563,10.2,68.3,0.515
NC,27.9,0.74,0.749,4.6,45.7,0.369
NC,26.5,0.8,0.749,4.7,38.3,0.366
NC,55.8,0.792,0.391,14.9,62.8,0.67
NC,53.4,0.776,0.415,,83.4,0.715
NC,69.2,0.82,0.677,8.2,89.7,0.314
NC,67.9,0.87,0.671,7.1,79.8,0.319
NC,11,0.845,0.775,8,53.1,0.252
NC,10.3,0.867,0.789,7.2,35.9,0.263
NC,52,0.825,0.52,,,0.514
NC,49.5,0.875,0.543,,,0.533
NC,42.4,0.77,0.6,8.8,88.1,0.474
NC,37.4,0.84,0.618,9.4,65.6,0.513
NC,40.6,0.82,0.586,5.5,83.4,0.467
NC,39,0.87,0.627,6.7,70.9,0.472
NC,45.5,0.875,0.554,,91.8,0.506
NC,40.1,0.825,0.548,,91.7,0.509
NC,48.6,0.768,0.57,9.9,67.6,0.423
NC,47.6,0.724,0.576,8,58,0.43
NC,29,0.7,0.69,10.3,83.7,0.498
NC,28.2,0.73,0.697,9.8,82.5,0.508
NC,27.9,0.875,0.521,,70.4,0.445
NC,27.5,0.9,0.544,,,0.489
NC,53,0.832,0.48,7.1,59.8,0.466
NC,51.6,0.842,0.492,6.6,47.7,0.497
NC,79.6,0.74,0.482,10.7,60.9,0.632
NC,75.9,0.74,0.486,8.9,77.1,0.659
NC,74.6,0.79,0.425,12.8,121,0.741
NC,70.7,0.83,0.446,14,93.4,0.723
NC,50.2,0.72,0.517,9.5,65.3,0.487
NC,48.6,0.76,0.515,9.4,63.4,0.493
NC,51.4,0.77,0.52,8,58.2,0.513
NC,49.2,0.81,0.525,7.9,56.8,0.547
NC,54.5,0.707,0.56,8.7,52.1,0.488
NC,52.3,0.746,0.566,7.5,49.9,0.513
NC,62.9,0.741,0.448,10.4,96.7,0.615
NC,62.3,0.76,0.45,11.2,97.3,0.612
NC,72.7,0.66,0.438,11.2,99.7,0.668
NC,71.6,0.76,0.438,10.9,94.6,
NC,50.1,0.792,0.56,11.2,66.7,0.426
NC,48.1,0.823,0.562,9.4,51.4,0.44
NC,33.8,0.81,0.489,9.6,67.5,0.379
NC,31.5,0.86,0.527,11,43.6,0.401
NC,49.1,0.809,0.519,8.2,72.2,0.461
NC,48.1,0.848,0.516,8.6,51.3,0.485
NC,66.8,0.743,0.563,,,0.436
NC,65,0.809,0.618,,,0.468
NC,36.7,0.78,0.584,,72.4,0.444
NC,36.3,0.82,0.626,,60.7,0.485
NC,56.4,,0.369,,,0.616
NC,51.9,,0.336,,,0.598
NC,34.2,0.891,0.658,6.7,41,0.272
NC,30.9,0.902,0.666,7,38.5,0.28
NC,76.7,0.68,0.431,14.3,91.6,0.699
NC,71.5,0.68,0.439,12.5,58.9,0.699
NC,26.2,0.814,0.776,6.6,55,0.279
NC,24.5,0.815,0.776,6.8,52.1,0.29
NC,52.8,0.8,0.435,13.7,73.8,0.692
NC,52.1,0.825,0.469,,65.3,0.728
NC,60.9,0.825,0.56,,79.2,0.718
NC,55.9,0.825,0.497,,,0.729
NC,9.9,0.87,0.712,9.2,60.4,0.275
NC,10.1,0.84,0.724,8.4,38.9,0.305
NC,56.5,0.75,0.585,9.1,80,0.52
NC,54.1,0.8,0.584,9.3,84.6,0.535
NC,50.6,0.81,0.494,7.4,60.5,0.523
NC,50.1,0.87,0.491,7.1,61.8,0.533
NC,60.3,0.69,0.521,12.2,65,0.579
NC,57.3,0.73,0.515,11.4,61.4,0.556
NC,48.8,0.83,0.474,9.5,69,0.422
NC,46.8,0.82,0.492,9.7,53.9,0.455
NC,40.2,0.775,0.51,,,0.477
NC,41.7,0.82,0.522,,70.7,0.469
VA,64.5,0.74,0.446,9.2,80,0.582
VA,59.5,0.8,0.42,9.1,110.5,
VA,13,,0.749,7.1,45.9,0.212
VA,12.3,,0.76,6.3,28,
VA,45.4,0.7,0.822,4.9,80.4,0.415
VA,41.2,0.75,0.816,4.7,72.3,
VA,47,0.86,0.547,,,0.384
VA,44.6,0.82,0.524,,,
VA,40.2,0.775,0.474,,,0.4
VA,39.4,0.925,0.541,,,
VA,30.1,0.84,0.525,,64,0.378
VA,31,0.86,0.53,,84.1,
VA,42.4,0.775,0.578,,,0.39
VA,40.4,0.725,0.555,,,
VA,21.5,0.81,0.879,3.6,53.8,0.253
VA,20.1,0.81,0.88,3.9,46,
VA,32.3,0.83,0.433,6.4,49.7,0.28
VA,30.6,0.87,0.461,5.4,48.2,
VA,14.2,,0.347,,,0.296
VA,17.6,0.925,0.4,,,
VA,24.6,,0.631,4.8,43.7,0.278
VA,23.6,,0.662,,44.6,
VA,47.8,0.88,0.635,,,0.498
VA,47.8,0.85,0.621,,,
VA,32.7,0.825,0.468,,,0.303
VA,36.2,0.825,0.489,,,
VA,18,0.86,0.673,11.1,66.9,0.161
VA,15.7,0.88,0.663,11.2,37.8,
VA,36.4,0.675,0.551,,,0.562
VA,33,0.725,0.548,,109.8,
VA,43.2,0.725,0.418,,101.5,0.705
VA,41.9,0.725,0.395,,76.6,
VA,47.7,0.8,0.403,,81.8,0.536
VA,47.8,0.76,0.418,,84.7,
VA,40.2,0.77,0.294,,75.2,0.523
VA,41.9,0.825,0.345,,,
VA,23.6,0.825,0.37,,,0.317
VA,25.1,0.875,0.421,,,
VA,33.7,0.8,0.58,8,51.6,0.308
VA,30.8,0.81,0.567,7.9,56.9,
VA,45.4,0.77,0.502,,69.4,0.411
VA,43.3,0.77,0.494,,62.3,
VA,43,0.82,0.473,,63.9,0.411
VA,43.4,0.86,0.485,,40.9,
VA,26.8,0.825,0.425,,,0.547
VA,23.9,0.775,0.425,,,
VA,39.8,0.825,0.519,,84.3,0.444
VA,41.2,0.825,0.472,,,
VA,25.4,0.852,0.748,6.3,117.7,0.447
VA,24.4,0.862,0.752,6.1,95.7,
VA,31.4,0.85,0.695,9.8,58.9,0.256
VA,29.7,0.86,0.702,8.3,45.9,
VA,20.3,0.83,0.69,6.2,42.1,0.171
VA,19.5,0.86,0.687,6.1,44.3,
VA,22.6,0.975,0.72,,,0.158
VA,22.3,0.875,0.689,,,
VA,46.8,0.84,0.504,,83.4,0.288
VA,44.9,0.86,0.552,,,
VA,30.9,0.575,0.487,,,0.45
VA,37.6,0.775,0.411,,,
VA,31.4,0.825,0.563,,,0.323
VA,30.8,,0.59,,,
VA,38.3,0.83,0.511,6.6,66.6,0.321
VA,37,0.86,0.511,6.9,51.9,
VA,28.3,0.825,0.487,,108,0.555
VA,27.2,0.775,0.48,,,
VA,61,0.69,0.573,11.3,111.7,0.663
VA,60.2,0.67,0.597,13.1,107.1,
VA,51.4,0.81,0.43,,,0.443
VA,53.4,0.825,0.475,,,
VA,32,0.71,0.489,,71.1,0.465
VA,31,0.76,0.479,,81.1,
VA,51.3,0.71,0.473,,,0.521
VA,47.8,0.775,0.557,,,
VA,42.7,0.825,0.46,,,0.581
VA,44.6,0.725,0.458,,102.4,
VA,15.7,0.86,0.794,4.5,41.3,0.198
VA,14.6,0.86,0.797,4.6,41.5,
VA,20,,0.847,,101.5,0.196
VA,20.4,,0.807,,59.5,
VA,8.4,0.925,0.857,,,0.068
VA,7.6,0.925,0.868,,,
VA,23.5,0.85,0.643,5,39.2,0.19
VA,22.2,0.89,0.66,5.1,44.3,
VA,31.2,0.875,0.514,,97.6,0.359
VA,30.7,0.875,0.481,,,
VA,23,0.86,0.578,,50.3,0.208
VA,20.5,0.9,0.577,,59.7,
VA,35.5,0.8,0.55,7.7,53.6,0.407
VA,35.2,0.81,0.565,6.6,52,
VA,59.4,0.725,0.578,,,0.705
VA,60.4,0.725,0.611,,,
VA,35.6,,0.605,4.5,44.5,0.243
VA,33,,0.64,4.9,49.6,
VA,29,0.81,0.597,14.1,157.9,0.477
VA,27.1,0.78,0.676,8.9,78,
VA,88.9,0.825,0.51,,,0.557
VA,90.8,0.875,0.455,,,
VA,42.3,0.775,0.543,,73.1,0.35
VA,45.8,0.76,0.538,,,
VA,25.2,0.84,0.595,,42.1,0.269
VA,25,0.82,0.614,,31.3,
VA,16.1,0.875,0.558,,,0.206
