Teen births,High school graduation,Some college,Infant mortality,Child mortality,Children eligible for free lunch
45.5,0.79,0.548,6.3,39.6,0.454
50.3,0.83,0.629,6.2,48.5,0.435
46.1,0.85,0.619,6.3,48.1,0.447
58.7,0.84,0.531,18.2,118.1,0.335
53.1,0.825,0.511,17.5,68,0.734
61.5,0.7,0.618,9.6,71.7,0.432
57.2,0.74,0.617,7.2,51.9,0.527
50.3,,0.437,,,0.516
47.3,,0.467,,,0.454
41.9,0.862,0.626,7,50.3,0.323
39.5,0.874,0.625,6.8,46.5,0.328
27.3,0.77,0.582,,75.2,0.452
27.5,0.86,0.598,,84.7,0.45
48.2,0.79,0.589,6.8,61,0.377
45.6,0.82,0.588,6.3,49.2,0.378
42.1,0.775,0.554,,,0.635
41.1,0.825,0.569,,,0.669
69.7,0.8,0.484,7.3,62.3,0.531
64.9,0.84,0.52,7.7,76.3,0.563
63.1,0.72,0.508,11.9,94.9,0.607
59,0.78,0.51,11,68.6,0.604
43.6,0.827,0.564,5.4,64.5,0.357
40.7,0.867,0.585,6.1,57.2,0.367
50.9,0.85,0.495,,53.6,0.523
49.4,0.85,0.523,,49.8,0.521
31.4,0.825,0.562,,,0.491
30.9,0.825,0.557,,,0.51
58.5,0.76,0.54,12.5,72.6,0.553
55.7,0.74,0.56,13.2,61.2,0.571
59.6,0.75,0.516,7.3,50.7,0.498
57.1,0.78,0.513,5.9,41.2,0.548
39.7,0.739,0.72,7.5,58.5,0.46
37.3,0.761,0.719,7,51.3,0.46
51.4,0.825,0.523,,,0.478
52.8,0.825,0.553,,,0.328
70.7,0.78,0.494,8.8,77.3,0.656
69.1,0.81,0.488,9.2,74.8,0.655
42.2,0.72,0.696,7.9,56.9,0.367
40.1,0.83,0.686,7.5,41.8,0.39
50.8,0.75,0.538,10.4,84.4,0.545
48.6,0.773,0.563,10.2,68.3,0.515
27.9,0.74,0.749,4.6,45.7,0.369
26.5,0.8,0.749,4.7,38.3,0.366
55.8,0.792,0.391,14.9,62.8,0.67
53.4,0.776,0.415,,83.4,0.715
69.2,0.82,0.677,8.2,89.7,0.314
67.9,0.87,0.671,7.1,79.8,0.319
11,0.845,0.775,8,53.1,0.252
10.3,0.867,0.789,7.2,35.9,0.263
52,0.825,0.52,,,0.514
49.5,0.875,0.543,,,0.533
42.4,0.77,0.6,8.8,88.1,0.474
37.4,0.84,0.618,9.4,65.6,0.513
40.6,0.82,0.586,5.5,83.4,0.467
39,0.87,0.627,6.7,70.9,0.472
45.5,0.875,0.554,,91.8,0.506
40.1,0.825,0.548,,91.7,0.509
48.6,0.768,0.57,9.9,67.6,0.423
47.6,0.724,0.576,8,58,0.43
29,0.7,0.69,10.3,83.7,0.498
28.2,0.73,0.697,9.8,82.5,0.508
27.9,0.875,0.521,,70.4,0.445
27.5,0.9,0.544,,,0.489
53,0.832,0.48,7.1,59.8,0.466
51.6,0.842,0.492,6.6,47.7,0.497
79.6,0.74,0.482,10.7,60.9,0.632
75.9,0.74,0.486,8.9,77.1,0.659
74.6,0.79,0.425,12.8,121,0.741
70.7,0.83,0.446,14,93.4,0.723
50.2,0.72,0.517,9.5,65.3,0.487
48.6,0.76,0.515,9.4,63.4,0.493
51.4,0.77,0.52,8,58.2,0.513
49.2,0.81,0.525,7.9,56.8,0.547
54.5,0.707,0.56,8.7,52.1,0.488
52.3,0.746,0.566,7.5,49.9,0.513
62.9,0.741,0.448,10.4,96.7,0.615
62.3,0.76,0.45,11.2,97.3,0.612
72.7,0.66,0.438,11.2,99.7,0.668
